,facility_name,facility_type,location,zip,contact,geocode,point,latitude,longitude,altitude
0,CVS,Drug Store,"731 Market St, San Francisco, CA 94103",94103,+1 415-243-0273,"CVS Pharmacy, 731, Market Street, Union Square, San Francisco, San Francisco City and County, California, 94103, United States of America","(37.7868371, -122.4041386, 0.0)",37.7868371,-122.4041386,0.0
1,CVS,Drug Store,"351 California St, San Francisco, CA 94104",94104,+1 415-243-0273,"351, California Street, Financial District, San Francisco, San Francisco City and County, California, 94104, United States of America","(37.7928462, -122.40090691922816, 0.0)",37.7928462,-122.40090691922816,0.0
2,CVS,Drug Store,"400 Sutter St, San Francisco, CA 94108",94108,+1 415-398-2175,"400, Sutter Street, Union Square, San Francisco, San Francisco City and County, California, 94108, United States of America","(37.789496, -122.407127, 0.0)",37.789496,-122.407127,0.0
3,CVS,Drug Store,"3600 Geary Blvd, San Francisco, CA 94118",94118,+1 415-668-6083,"3600, Geary Boulevard, Jordan Park, San Francisco, San Francisco City and County, California, 94118, United States of America","(37.78114096774194, -122.45804891935485, 0.0)",37.78114096774194,-122.45804891935485,0.0
4,CVS,Drug Store,"701 Portola Dr, San Francisco, CA 94127",94127,+1 415-504-6043,"CVS Pharmacy, 701, Portola Drive, Forest Hill, San Francisco, San Francisco City and County, California, 94127, United States of America","(37.744190950000004, -122.45325431912494, 0.0)",37.744190950000004,-122.45325431912494,0.0
5,CVS,Drug Store,"1101 Market St, San Francisco, CA 94103",94103,+1 415-558-1538,"1101, Market Street, Civic Center, San Francisco, San Francisco City and County, California, 94103, United States of America","(37.780237, -122.412434, 0.0)",37.780237,-122.412434,0.0
6,CVS,Drug Store,"1059 Hyde St, San Francisco, CA 94109",94109,+1 415-346-6100,"1059, Hyde Street, Nob Hill, San Francisco, San Francisco City and County, California, 94109, United States of America","(37.79055881632653, -122.41741308163265, 0.0)",37.79055881632653,-122.41741308163265,0.0
7,CVS,Drug Store,"2025 Van Ness Ave, San Francisco, CA 94109",94109,+1 415-353-5705,"CVS Pharmacy, 2025, Van Ness Avenue, Nob Hill, San Francisco, San Francisco City and County, California, 90214, United States of America","(37.7942776, -122.4233966, 0.0)",37.7942776,-122.4233966,0.0
8,CVS,Drug Store,"1900 19th Ave, San Francisco, CA 94116",94116,+1 415-664-1834,"CVS Pharmacy, 1900, 19th Avenue, Inner Sunset, San Francisco, San Francisco City and County, California, 94116, United States of America","(37.7521812, -122.4760443, 0.0)",37.7521812,-122.4760443,0.0
9,CVS,Drug Store,"731 Market St, San Francisco, CA 94103",94103,+1 415-243-0273,"CVS Pharmacy, 731, Market Street, Union Square, San Francisco, San Francisco City and County, California, 94103, United States of America","(37.7868371, -122.4041386, 0.0)",37.7868371,-122.4041386,0.0
10,CVS,Drug Store,"799 Beach St, San Francisco, CA 94109",94109,+1 415 561-0984,"799, Beach Street, Russian Hill, San Francisco, San Francisco City and County, California, 94109, United States of America","(37.80643681081081, -122.42157601351352, 0.0)",37.80643681081081,-122.42157601351352,0.0
11,CVS,Drug Store,"581 Market St, San Francisco, CA 94105",94105,+1 415 777-1654,"581, Market Street, Financial District, San Francisco, San Francisco City and County, California, 94105, United States of America","(37.78951525, -122.40082275, 0.0)",37.78951525,-122.40082275,0.0
12,CVS,Drug Store,"1 Jefferson St, San Francisco, CA 94133",94133,+1 415 291-0268,"CVS Pharmacy, 1, Jefferson Street, North Beach, San Francisco, San Francisco City and County, California, 94133, United States of America","(37.8084558, -122.4126998, 0.0)",37.8084558,-122.4126998,0.0
13,CVS,Drug Store,"601 Mission St, San Francisco, CA 94105",94105,+1 415 442-4737,"601, Mission Street, Financial District, San Francisco, San Francisco City and County, California, 94105, United States of America","(37.7878301, -122.3998344, 0.0)",37.7878301,-122.3998344,0.0
14,CVS,Drug Store,"500 Pine St, San Francisco, CA 94108",94108,+1 415 362-6318,"St. Mary's Square, 500, Pine Street, Chinatown, San Francisco, San Francisco City and County, California, 94108, United States of America","(37.79196865, -122.40461171364203, 0.0)",37.79196865,-122.40461171364203,0.0
15,CVS,Drug Store,"377 32nd Ave, San Francisco, CA 94121",94121,+1 415 666-3153,"CVS, 377, 32nd Avenue, Seacliff, San Francisco, San Francisco City and County, California, 94121, United States of America","(37.781931799999995, -122.49303125195985, 0.0)",37.781931799999995,-122.49303125195985,0.0
16,CVS,Drug Store,"499 Haight St, San Francisco, CA 94117",94117,+1 415 503-0722,"Haight Street, Haight-Ashbury, San Francisco, San Francisco City and County, California, 94117, United States of America","(37.7696673, -122.4496634, 0.0)",37.7696673,-122.4496634,0.0
18,CVS,Drug Store,"2675 Geary Blvd, San Francisco, CA 94118",94118,+1 415 796-5281,"Starbucks, 2675, Geary Boulevard, Western Addition, San Francisco, San Francisco City and County, California, 94118, United States of America","(37.7821167, -122.4472154, 0.0)",37.7821167,-122.4472154,0.0
19,CVS,Drug Store,"789 Mission St, San Francisco, CA 94103",94103,+1 415 343-6273,"Target, 789, Mission Street, Union Square, San Francisco, San Francisco City and County, California, 94103, United States of America","(37.7845294, -122.4039285, 0.0)",37.7845294,-122.4039285,0.0
20,CVS,Drug Store,"1830 Ocean Ave, San Francisco, CA 94112",94112,+1 415 840-0524,"Target, 1830, Ocean Avenue, Ingleside, San Francisco, San Francisco City and County, California, 94112, United States of America","(37.7251662, -122.4613309, 0.0)",37.7251662,-122.4613309,0.0
21,CVS,Drug Store,"233 Winston Dr, San Francisco, CA 94132",94132,+1 415 664-1436,"Target, 233, Winston Drive, Saint Francis Wood, San Francisco, San Francisco City and County, California, 94132, United States of America","(37.7268052, -122.4762229, 0.0)",37.7268052,-122.4762229,0.0
22,CVS,Drug Store,"445 Castro St, San Francisco, CA 94114",94114,+1 415 864-7030,"CarePlus / CVS, 445, Castro Street, Castro District, San Francisco, San Francisco City and County, California, 94114, United States of America","(37.7617622, -122.4349454, 0.0)",37.7617622,-122.4349454,0.0
23,CVS,Drug Store,"595 Market St, San Francisco, CA 94105",94105,Unknown,"Uno Dos Tacos, 595, Market Street, Financial District, San Francisco, San Francisco City and County, California, 94105, United States of America","(37.7889448, -122.3999644, 0.0)",37.7889448,-122.3999644,0.0
24,CVS,Drug Store,"701 Van Ness Ave, San Francisco, CA 94102",94102,+1 415 848-1088,"701, Van Ness Avenue, Civic Center, San Francisco, San Francisco City and County, California, 94102, United States of America","(37.782059, -122.420822, 0.0)",37.782059,-122.420822,0.0
25,CVS,Drug Store,"399 Geary St, San Francisco, CA 94102",94102,+1 415 268-9949,"399, Geary Street, Union Square, San Francisco, San Francisco City and County, California, 94102, United States of America","(37.787087, -122.409704, 0.0)",37.787087,-122.409704,0.0
26,CVS,Drug Store,"1690 Folsom St, San Francisco, CA 94103",94103,+1 415 696-7715,"1690, Folsom Street, Civic Center, San Francisco, San Francisco City and County, California, 94103, United States of America","(37.769861051971134, -122.41559097923826, 0.0)",37.769861051971134,-122.41559097923826,0.0
27,Walgreens,Drug Store,"135 Powell St, San Francisco, CA 94102",94102,+1 415-391-7222,"135, Powell Street, Union Square, San Francisco, San Francisco City and County, California, 94102, United States of America","(37.78583483673469, -122.40802648979592, 0.0)",37.78583483673469,-122.40802648979592,0.0
28,Walgreens,Drug Store,"670 4th St, San Francisco, CA 94107",94107,+1 415-856-0543,"670, 4th Street, South Beach, San Francisco, San Francisco City and County, California, 94107, United States of America","(37.777371583333334, -122.39548133333334, 0.0)",37.777371583333334,-122.39548133333334,0.0
29,Walgreens,Drug Store,"2120 Polk St, San Francisco, CA 94109",94109,+1 415-474-9752,"Walgreens, 2120, Polk Street, Russian Hill, San Francisco, San Francisco City and County, California, 94109, United States of America","(37.79640915, -122.4215333004868, 0.0)",37.79640915,-122.4215333004868,0.0
30,Walgreens,Drug Store,"456 Mission St, San Francisco, CA 94105",94105,+1 415-348-9600,"Walgreens, 456, Mission Street, Financial District, San Francisco, San Francisco City and County, California, 94105, United States of America","(37.7899945, -122.3975498, 0.0)",37.7899945,-122.3975498,0.0
31,Walgreens,Drug Store,"1344 Stockton St, San Francisco, CA 94133",94133,+1 415-981-6274,"1338-1344, Stockton Street, North Beach, San Francisco, San Francisco City and County, California, 94133, United States of America","(37.798256550000005, -122.4084126, 0.0)",37.798256550000005,-122.4084126,0.0
32,Walgreens,Drug Store,"300 Montgomery St, San Francisco, CA 94104",94104,+1 415-788-2984,"U.S. Bank, 300, Montgomery Street, Financial District, San Francisco, San Francisco City and County, California, 90104, United States of America","(37.7926992, -122.4025803, 0.0)",37.7926992,-122.4025803,0.0
33,Walgreens,Drug Store,"88 Spear St, San Francisco, CA 94105",94105,+1 415-856-0733,"Spear Street, Financial District, San Francisco, San Francisco City and County, California, 94105, United States of America","(37.7913918, -122.392628, 0.0)",37.7913918,-122.392628,0.0
34,Walgreens,Drug Store,"825 Market St, San Francisco, CA 94103",94103,+1 415-543-9502,"Market Street, Tenderloin, San Francisco, San Francisco City and County, California, 94103, United States of America","(37.7813537, -122.4113456, 0.0)",37.7813537,-122.4113456,0.0
35,Walgreens,Drug Store,"275 Sacramento St, San Francisco, CA 94111",94111,+1 415-362-5227,"Walgreens, 275, Sacramento Street, Financial District, San Francisco, San Francisco City and County, California, 94111, United States of America","(37.7942154, -122.3988157, 0.0)",37.7942154,-122.3988157,0.0
36,Walgreens,Drug Store,"141 Kearny St, San Francisco, CA 94108",94108,+1 415 834-0356,"Walgreens, 141, Kearny Street, Union Square, San Francisco, San Francisco City and County, California, 90104, United States of America","(37.7894755, -122.4039595, 0.0)",37.7894755,-122.4039595,0.0
37,Walgreens,Drug Store,"790 Van Ness Ave, San Francisco, CA 94102",94102,+1 415 292-6155,"Walgreens, 790, Van Ness Avenue, Civic Center, San Francisco, San Francisco City and County, California, 94102, United States of America","(37.78281, -122.4205552, 0.0)",37.78281,-122.4205552,0.0
38,Walgreens,Drug Store,"1496 Market St, San Francisco, CA 94102",94102,+1 415 626-9972,"Walgreens, 1496, Market Street, Hayes Valley, San Francisco, San Francisco City and County, California, 94102, United States of America","(37.7755852, -122.4191083, 0.0)",37.7755852,-122.4191083,0.0
