zip,count,sq_mileage,density
94102,7,0.648289193,10.79765031
94103,5,1.342787766,3.723596628
94107,1,2.43724118,0.410299977
94108,1,0.258137514,3.873904199
94109,3,1.210667077,2.477972728
94110,8,2.381114181,3.359771683
94112,2,3.308238557,0.604551324
94114,3,1.366283707,2.195737228
94115,4,1.123992514,3.558742564
94116,2,2.583175385,0.774240886
94117,4,1.390390876,2.876888843
94118,5,1.764072167,2.834351165
94121,1,2.949985067,0.338984767
94122,2,3.182663625,0.628404455
94124,2,5.002284734,0.399817305
94127,1,1.88007074,0.53189488
94133,6,0.668702828,8.972595519
94134,3,2.393319172,1.253489311
