,Zip Code,Death Rates,ED Rates,Hosp Rates,Pres Rates
0,94102,94.85,285.88,21.66,412.38
1,94103,60.02,285.97,33.7,392.68
2,94104,156.97,1525.1,0,1390.63
3,94105,10.92,243.68,0,368.31
4,94107,7.02,40.11,1.41,268.74
5,94108,21.45,76.01,15.09,137.6
6,94109,20.81,113.8,17.43,297.57
7,94110,21.2,41.87,8.23,290.76
8,94111,0,455.9,0,287.25
9,94112,10.29,21.99,10.4,347.61
10,94114,2.35,23.11,16.02,303
11,94115,8.29,30.24,10.05,395.73
12,94116,0,10.88,0,174.9
13,94117,14.19,41.84,13.7,414.99
14,94118,7.85,22.56,1.46,223.89
15,94121,0,44.82,6.1,203.1
16,94122,3.44,16.7,7.16,196.56
17,94123,4.57,14.04,7.63,256.03
18,94124,23.33,71.07,20.2,478.06
19,94127,11.35,8.54,2.4,246.43
20,94129,0,12.46,0,327.74
21,94130,0,100.2,118.55,722.09
22,94131,8.02,17.62,3.39,256.47
23,94132,6.12,11.04,10.86,223.75
24,94133,0,27.05,5.76,195.91
25,94134,11.39,37.04,6.22,226.79
26,94158,0,5.35,0,378.53
