facility_name,facility_type,location,zip,contact
CVS,Drug Store,"731 Market St, San Francisco, CA 94103",94103,+1 415-243-0273
CVS,Drug Store,"351 California St, San Francisco, CA 94104",94104,+1 415-243-0273
CVS,Drug Store,"400 Sutter St, San Francisco, CA 94108",94108,+1 415-398-2175
CVS,Drug Store,"3600 Geary Blvd, San Francisco, CA 94118",94118,+1 415-668-6083
CVS,Drug Store,"701 Portola Dr, San Francisco, CA 94127",94127,+1 415-504-6043
CVS,Drug Store,"1101 Market St, San Francisco, CA 94103",94103,+1 415-558-1538
CVS,Drug Store,"1059 Hyde St, San Francisco, CA 94109",94109,+1 415-346-6100
CVS,Drug Store,"2025 Van Ness Ave, San Francisco, CA 94109",94109,+1 415-353-5705
CVS,Drug Store,"1900 19th Ave, San Francisco, CA 94116",94116,+1 415-664-1834
CVS,Drug Store,"731 Market St, San Francisco, CA 94103",94103,+1 415-243-0273
CVS,Drug Store,"799 Beach St, San Francisco, CA 94109",94109,+1 415 561-0984
CVS,Drug Store,"581 Market St, San Francisco, CA 94105",94105,+1 415 777-1654
CVS,Drug Store,"1 Jefferson St, San Francisco, CA 94133",94133,+1 415 291-0268
CVS,Drug Store,"601 Mission St, San Francisco, CA 94105",94105,+1 415 442-4737
CVS,Drug Store,"500 Pine St, San Francisco, CA 94108",94108,+1 415 362-6318
CVS,Drug Store,"377 32nd Ave, San Francisco, CA 94121",94121,+1 415 666-3153
CVS,Drug Store,"499 Haight St, San Francisco, CA 94117",94117,+1 415 503-0722
CVS,Drug Store,"225 Bush St #100, San Francisco, CA 94104",94104,+1 415 365-0835
CVS,Drug Store,"2675 Geary Blvd, San Francisco, CA 94118",94118,+1 415 796-5281
CVS,Drug Store,"789 Mission St, San Francisco, CA 94103",94103,+1 415 343-6273
CVS,Drug Store,"1830 Ocean Ave, San Francisco, CA 94112",94112,+1 415 840-0524
CVS,Drug Store,"233 Winston Dr, San Francisco, CA 94132",94132,+1 415 664-1436
CVS,Drug Store,"445 Castro St, San Francisco, CA 94114",94114,+1 415 864-7030
CVS,Drug Store,"595 Market St, San Francisco, CA 94105",94105,Unknown
CVS,Drug Store,"701 Van Ness Ave, San Francisco, CA 94102",94102,+1 415 848-1088
CVS,Drug Store,"399 Geary St, San Francisco, CA 94102",94102,+1 415 268-9949
CVS,Drug Store,"1690 Folsom St, San Francisco, CA 94103",94103,+1 415 696-7715
Walgreens,Drug Store,"135 Powell St, San Francisco, CA 94102",94102,+1 415-391-7222
Walgreens,Drug Store,"670 4th St, San Francisco, CA 94107",94107,+1 415-856-0543
Walgreens,Drug Store,"2120 Polk St, San Francisco, CA 94109",94109,+1 415-474-9752
